episode,total_reward,total_time_steps,num_agents,n_packages,max_steps,map,lr_actor,lr_critic
252,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
253,-0.18,100,5,20,1000,map1.txt,0.0001,0.001
254,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
255,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
256,-0.09000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
257,-0.08999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
258,-0.17999999999999997,100,5,20,1000,map1.txt,0.0001,0.001
259,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
260,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
261,-0.02,100,5,20,1000,map1.txt,0.0001,0.001
262,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
263,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
264,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
265,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
266,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
267,-0.15000000000000002,100,5,20,1000,map1.txt,0.0001,0.001
268,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
269,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
270,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
271,-0.08999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
272,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
273,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
274,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
275,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
276,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
277,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
278,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
279,-0.12000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
280,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
281,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
282,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
283,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
284,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
285,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
286,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
287,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
288,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
289,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
290,-0.12000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
291,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
292,-0.09999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
293,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
294,-0.07999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
295,-0.12000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
296,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
297,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
298,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
299,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
300,-0.07999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
301,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
302,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
303,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
304,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
305,-0.15000000000000002,100,5,20,1000,map1.txt,0.0001,0.001
306,-0.07999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
307,-0.15999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
308,-0.12000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
309,-0.02,100,5,20,1000,map1.txt,0.0001,0.001
310,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
311,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
312,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
313,-0.10999999999999997,100,5,20,1000,map1.txt,0.0001,0.001
314,-0.11999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
315,-0.06999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
316,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
317,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
318,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
319,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
320,-0.09999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
321,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
322,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
323,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
324,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
325,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
326,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
327,-0.17,100,5,20,1000,map1.txt,0.0001,0.001
328,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
329,-0.08999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
330,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
331,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
332,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
333,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
334,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
335,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
336,-0.17,100,5,20,1000,map1.txt,0.0001,0.001
337,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
338,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
339,-0.18999999999999997,100,5,20,1000,map1.txt,0.0001,0.001
340,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
341,-0.11999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
342,-0.16999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
343,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
344,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
345,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
346,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
347,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
348,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
349,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
350,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
351,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
352,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
353,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
354,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
355,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
356,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
357,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
358,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
359,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
360,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
361,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
362,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
363,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
364,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
365,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
366,-0.09999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
367,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
368,-0.06,100,5,20,1000,map1.txt,0.0001,0.001
369,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
370,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
371,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
372,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
373,-0.06999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
374,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
375,-0.16999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
376,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
377,-0.10999999999999997,100,5,20,1000,map1.txt,0.0001,0.001
378,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
379,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
380,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
381,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
382,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
383,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
384,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
385,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
386,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
387,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
388,-0.12000000000000001,100,5,20,1000,map1.txt,0.0001,0.001
389,-0.17999999999999997,100,5,20,1000,map1.txt,0.0001,0.001
390,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
391,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
392,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
393,0,100,5,20,1000,map1.txt,0.0001,0.001
394,-0.06999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
395,-0.09999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
396,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
397,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
398,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
399,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
400,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
401,-0.10999999999999997,100,5,20,1000,map1.txt,0.0001,0.001
402,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
403,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
404,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
405,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
406,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
407,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
408,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
409,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
410,-0.01,100,5,20,1000,map1.txt,0.0001,0.001
411,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
412,-0.15999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
413,-0.16,100,5,20,1000,map1.txt,0.0001,0.001
414,0,100,5,20,1000,map1.txt,0.0001,0.001
415,-0.16999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
416,-0.16,100,5,20,1000,map1.txt,0.0001,0.001
417,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
418,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
419,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
420,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
421,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
422,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
423,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
424,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
425,-0.18000000000000002,100,5,20,1000,map1.txt,0.0001,0.001
426,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
427,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
428,-0.19,100,5,20,1000,map1.txt,0.0001,0.001
429,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
430,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
431,-0.06,100,5,20,1000,map1.txt,0.0001,0.001
432,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
433,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
434,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
435,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
436,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
437,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
438,-0.16999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
439,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
440,-0.10999999999999997,100,5,20,1000,map1.txt,0.0001,0.001
441,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
442,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
443,-0.09999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
444,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
445,-0.11999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
446,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
447,-0.11999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
448,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
449,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
450,-0.07999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
451,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
452,-0.02,100,5,20,1000,map1.txt,0.0001,0.001
453,-0.06999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
454,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
455,-0.11999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
456,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
457,-0.18000000000000002,100,5,20,1000,map1.txt,0.0001,0.001
458,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
459,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
460,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
461,-0.06999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
462,-0.15000000000000002,100,5,20,1000,map1.txt,0.0001,0.001
463,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
464,-0.02,100,5,20,1000,map1.txt,0.0001,0.001
465,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
466,-0.09999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
467,-0.14,100,5,20,1000,map1.txt,0.0001,0.001
468,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
469,-0.06999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
470,-0.06999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
471,-0.06999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
472,-0.08,100,5,20,1000,map1.txt,0.0001,0.001
473,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
474,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
475,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
476,-0.09999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
477,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
478,-0.10999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
479,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
480,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
481,-0.06999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
482,-0.12,100,5,20,1000,map1.txt,0.0001,0.001
483,-0.07999999999999999,100,5,20,1000,map1.txt,0.0001,0.001
484,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
485,-0.02,100,5,20,1000,map1.txt,0.0001,0.001
486,-0.1,100,5,20,1000,map1.txt,0.0001,0.001
487,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
488,-0.11999999999999998,100,5,20,1000,map1.txt,0.0001,0.001
489,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
490,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
491,-0.16,100,5,20,1000,map1.txt,0.0001,0.001
492,-0.03,100,5,20,1000,map1.txt,0.0001,0.001
493,-0.11,100,5,20,1000,map1.txt,0.0001,0.001
494,-0.060000000000000005,100,5,20,1000,map1.txt,0.0001,0.001
495,-0.09,100,5,20,1000,map1.txt,0.0001,0.001
496,-0.07,100,5,20,1000,map1.txt,0.0001,0.001
497,-0.13,100,5,20,1000,map1.txt,0.0001,0.001
498,-0.05,100,5,20,1000,map1.txt,0.0001,0.001
499,-0.04,100,5,20,1000,map1.txt,0.0001,0.001
500,-0.16,100,5,20,1000,map1.txt,0.0001,0.001
